Country,Daily new confirmed deaths due to COVID-19
Australia,19370.0
Brazil,698947.0
Canada,51249.0
China,119865.0
Egypt,24809.0
Germany,167951.0
Morocco,16296.0
Russia,396100.0
Saudi Arabia,9614.0
South Africa,102595.0
United Arab Emirates,2349.0
United Kingdom,206952.0
United States,1111785.0
